year,item,item_code,country,value
,,,,Population totale
2013,Population,2501,Togo,6817
2013,Population,2501,Trinité-et-Tobago,1341
2013,Population,2501,Oman,3632
2013,Population,2501,Tunisie,10997
2013,Population,2501,Turquie,74933
2013,Population,2501,Émirats arabes unis,9346
2013,Population,2501,Ouganda,37579
2013,Population,2501,Royaume-Uni,63384
2013,Population,2501,Ukraine,45239
2013,Population,2501,États-Unis d'Amérique,320051
2013,Population,2501,Burkina Faso,16935
2013,Population,2501,Uruguay,3407
2013,Population,2501,Ouzbékistan,28934
2013,Population,2501,Venezuela (République bolivarienne du),30405
2013,Population,2501,Viet Nam,91680
2013,Population,2501,Éthiopie,94101
2013,Population,2501,Samoa,190
2013,Population,2501,Yémen,24407
2013,Population,2501,Zambie,14539
2013,Population,2501,Belgique,11104
2013,Population,2501,Luxembourg,530
2013,Population,2501,Serbie,9511
2013,Population,2501,Monténégro,621
2013,Population,2501,Soudan,37964
2013,Population,2501,Chine,1416667
